payment_id,user_id,payment_type,is_verified,payment_age_days,card_last4,is_international
1,1,debit_card,True,223,7812,False
2,1,debit_card,True,86,,False
3,1,paypal,True,127,3957,False
4,2,paypal,True,365,7111,False
5,3,debit_card,True,129,,False
6,4,digital_wallet,True,48,,False
7,4,digital_wallet,True,38,4222,False
8,4,credit_card,True,52,9964,False
9,5,credit_card,False,682,2028,False
10,5,digital_wallet,True,950,6163,False
11,6,credit_card,True,154,5163,False
12,7,debit_card,True,42,8360,False
13,8,paypal,True,78,9954,True
14,9,paypal,True,751,1838,False
15,10,digital_wallet,True,339,,False
16,10,digital_wallet,True,200,3903,False
17,10,bank_transfer,True,351,,False
18,11,paypal,False,34,,False
19,11,bank_transfer,True,42,,False
20,12,paypal,True,296,9989,False
21,13,credit_card,True,895,1054,True
22,14,debit_card,True,70,,False
23,15,bank_transfer,True,548,8884,False
24,16,credit_card,True,92,7355,False
25,16,credit_card,True,65,2415,True
26,17,digital_wallet,True,165,9762,False
27,18,bank_transfer,True,349,8084,False
28,18,debit_card,True,413,,False
29,18,credit_card,True,601,4715,False
30,19,bank_transfer,True,469,7043,False
31,19,debit_card,False,464,,False
32,20,paypal,True,333,1121,True
33,20,debit_card,True,44,9528,False
34,20,bank_transfer,True,70,6582,False
35,21,debit_card,True,82,7973,False
36,22,debit_card,False,615,7219,True
37,23,credit_card,True,422,6960,False
38,23,bank_transfer,True,308,,True
39,24,debit_card,True,48,2640,False
40,24,paypal,False,136,3027,False
41,25,debit_card,True,41,,False
42,26,digital_wallet,True,82,9946,False
43,26,credit_card,True,305,1667,False
44,26,paypal,True,96,,False
45,27,credit_card,False,603,,False
46,28,digital_wallet,True,416,,False
47,28,credit_card,True,254,4033,False
48,29,credit_card,True,54,3075,False
49,29,debit_card,True,261,1086,False
50,29,bank_transfer,True,97,1972,False
51,30,digital_wallet,True,198,,False
52,30,digital_wallet,True,422,,False
53,30,bank_transfer,True,128,,False
54,31,digital_wallet,True,416,,False
55,32,debit_card,True,246,,False
56,33,credit_card,True,188,3178,True
57,34,credit_card,True,589,2814,False
58,34,paypal,False,110,,False
59,35,paypal,True,127,7735,False
60,35,bank_transfer,True,282,3390,False
61,35,debit_card,True,682,5487,False
62,36,debit_card,False,475,,True
63,36,digital_wallet,False,470,,False
64,37,debit_card,True,72,1225,False
65,37,digital_wallet,True,17,5967,False
66,38,bank_transfer,True,283,5417,False
67,38,credit_card,True,137,8961,False
68,39,credit_card,True,75,,False
69,39,paypal,True,51,9462,False
70,39,credit_card,True,11,2755,False
71,40,digital_wallet,True,501,9682,True
72,40,debit_card,True,7,6363,False
73,41,credit_card,True,88,4069,False
74,41,bank_transfer,True,196,,False
75,41,bank_transfer,True,161,6847,False
76,42,paypal,True,502,,False
77,42,digital_wallet,True,494,4728,False
78,43,credit_card,False,79,3244,False
79,43,bank_transfer,True,210,2189,False
80,43,bank_transfer,True,562,4616,False
81,44,paypal,True,75,,False
82,45,digital_wallet,True,659,4425,False
83,46,paypal,True,96,9796,False
84,47,paypal,False,89,1104,True
85,48,bank_transfer,True,56,2639,False
86,48,paypal,True,148,,False
87,49,credit_card,True,337,1349,False
88,49,debit_card,True,322,3939,False
89,50,bank_transfer,True,303,,False
90,51,debit_card,True,121,5908,False
91,51,debit_card,True,65,1124,False
92,51,bank_transfer,False,180,,False
93,52,credit_card,False,213,3722,False
94,53,digital_wallet,True,347,6407,True
95,53,digital_wallet,True,305,4532,True
96,53,bank_transfer,True,313,,False
97,54,debit_card,True,21,7152,False
98,55,digital_wallet,True,224,,False
99,55,digital_wallet,True,59,2854,False
100,56,debit_card,True,595,,False
101,56,debit_card,True,130,9329,True
102,57,digital_wallet,True,124,6556,False
103,57,paypal,False,134,3921,False
104,57,debit_card,True,430,,False
105,58,debit_card,True,133,2170,False
106,58,paypal,True,21,5527,True
107,58,credit_card,True,9,1396,True
108,59,debit_card,False,166,2328,False
109,59,credit_card,True,413,9831,False
