user_id,account_age_days,total_past_orders,age,location,email_domain,registration_device,registration_ip,last_login_days_ago
1,229,6,19,Brunei Darussalam,yahoo.com,tablet,27.54.233.39,35
2,502,22,32,Guam,yahoo.com,mobile,183.246.69.129,13
3,179,4,55,Dominican Republic,yahoo.com,desktop,217.231.68.140,4
4,62,1,23,Nicaragua,gmail.com,mobile,123.217.187.168,29
5,1035,31,56,Palestinian Territory,yahoo.com,mobile,69.71.168.171,71
6,408,13,63,Mayotte,gmail.com,tablet,217.144.89.252,89
7,860,30,32,Hungary,hotmail.com,desktop,197.165.135.120,75
8,570,16,69,Slovenia,hotmail.com,mobile,214.18.201.21,20
9,866,28,39,Tunisia,hotmail.com,desktop,70.254.181.139,19
10,441,11,79,Afghanistan,gmail.com,desktop,74.224.215.23,13
11,190,4,42,Peru,gmail.com,mobile,222.16.198.169,45
12,705,28,56,Hong Kong,hotmail.com,desktop,94.168.193.72,5
13,941,23,52,Nauru,hotmail.com,mobile,101.149.194.238,48
14,162,3,53,Afghanistan,yahoo.com,desktop,120.43.31.159,80
15,741,33,54,Eritrea,hotmail.com,mobile,67.230.190.33,90
16,143,6,20,Czech Republic,hotmail.com,tablet,76.199.240.221,29
17,593,12,23,South Georgia and the South Sandwich Islands,yahoo.com,mobile,24.128.5.155,12
18,779,14,35,Rwanda,hotmail.com,desktop,184.124.146.196,81
19,748,23,28,Saint Martin,hotmail.com,desktop,169.250.186.137,45
20,430,18,60,Nauru,gmail.com,desktop,155.143.31.39,89
21,147,4,56,United States of America,hotmail.com,tablet,114.53.152.204,21
22,1094,30,64,Antarctica (the territory South of 60 deg S),gmail.com,mobile,108.160.13.106,20
23,947,37,42,Saint Helena,hotmail.com,desktop,10.61.189.36,81
24,450,8,61,Cocos (Keeling) Islands,yahoo.com,desktop,106.173.30.41,7
25,470,17,70,Argentina,gmail.com,mobile,59.15.88.17,40
26,822,17,35,Czech Republic,gmail.com,mobile,150.86.234.224,27
27,645,19,31,Turks and Caicos Islands,gmail.com,tablet,176.226.99.204,63
28,811,29,74,Australia,gmail.com,tablet,164.63.43.37,58
29,293,9,34,Luxembourg,gmail.com,mobile,196.59.119.145,31
30,539,12,65,Egypt,gmail.com,tablet,3.170.36.84,54
31,818,29,41,Maldives,hotmail.com,mobile,33.197.42.168,17
32,1044,35,49,Eritrea,hotmail.com,mobile,147.158.44.209,6
33,225,5,27,British Indian Ocean Territory (Chagos Archipelago),yahoo.com,tablet,137.108.86.134,20
34,865,23,56,Liberia,yahoo.com,mobile,39.228.246.75,49
35,782,31,56,Lao People's Democratic Republic,gmail.com,desktop,25.77.174.229,67
36,515,13,80,Mali,hotmail.com,tablet,25.74.138.94,1
37,235,9,61,Russian Federation,yahoo.com,tablet,184.98.138.97,34
38,697,23,25,Tuvalu,hotmail.com,desktop,76.250.112.146,55
39,324,8,47,Bahamas,yahoo.com,mobile,52.1.41.185,33
40,1026,31,66,Israel,gmail.com,mobile,76.129.9.198,64
41,218,8,73,Oman,gmail.com,tablet,166.33.96.19,38
42,1040,37,56,Belgium,gmail.com,mobile,223.22.241.249,19
43,766,14,66,Singapore,yahoo.com,mobile,196.57.53.227,69
44,1087,46,76,Malta,hotmail.com,mobile,177.203.68.214,76
45,664,16,49,Micronesia,gmail.com,mobile,189.44.78.164,14
46,744,27,74,Nigeria,gmail.com,desktop,177.53.233.225,30
47,119,5,33,Kenya,gmail.com,tablet,19.155.238.107,10
48,176,4,64,Myanmar,hotmail.com,desktop,190.17.155.100,8
49,1091,38,67,Montserrat,yahoo.com,mobile,178.134.61.198,16
50,974,27,78,United Kingdom,gmail.com,tablet,91.132.26.191,21
51,543,13,51,Liechtenstein,gmail.com,tablet,173.210.86.63,54
52,434,13,77,Netherlands,hotmail.com,tablet,56.5.49.226,88
53,412,9,63,Suriname,yahoo.com,desktop,199.19.17.59,51
54,765,32,46,Iceland,yahoo.com,tablet,108.22.164.158,57
55,248,10,33,Bolivia,gmail.com,mobile,55.236.33.20,8
56,693,25,19,French Southern Territories,gmail.com,tablet,123.56.114.54,70
57,472,17,55,Tokelau,gmail.com,mobile,175.206.127.151,0
58,146,2,63,San Marino,yahoo.com,tablet,12.255.133.103,7
59,469,11,22,Greece,yahoo.com,mobile,64.180.67.51,42
60,146,5,50,Ireland,gmail.com,mobile,187.20.244.171,35
61,995,38,31,Bangladesh,hotmail.com,tablet,20.89.16.145,16
62,969,39,33,Belize,hotmail.com,desktop,8.128.117.80,52
63,390,14,24,Cote d'Ivoire,gmail.com,mobile,47.217.212.250,84
64,883,27,40,Montserrat,yahoo.com,desktop,99.210.157.227,52
65,957,30,73,Mayotte,gmail.com,tablet,223.67.114.237,6
66,202,8,21,Congo,yahoo.com,desktop,9.113.113.194,43
67,224,6,33,Dominica,gmail.com,mobile,132.67.76.2,24
68,919,41,26,United Kingdom,gmail.com,desktop,61.53.197.73,23
69,571,24,47,New Zealand,gmail.com,mobile,103.216.89.84,9
70,908,28,69,Sierra Leone,gmail.com,tablet,110.178.97.65,12
71,104,2,59,Nigeria,gmail.com,tablet,215.217.7.0,1
72,192,7,77,Algeria,gmail.com,mobile,204.77.93.168,21
73,833,35,49,Mali,hotmail.com,desktop,144.42.203.79,27
74,822,31,75,Northern Mariana Islands,gmail.com,mobile,142.90.16.234,21
75,777,24,18,Madagascar,yahoo.com,desktop,207.178.174.52,33
76,932,31,36,Mongolia,hotmail.com,desktop,49.52.141.57,89
77,997,39,27,Malta,gmail.com,mobile,129.33.114.161,37
78,446,17,79,Gabon,yahoo.com,mobile,45.55.147.170,74
79,125,3,65,Suriname,hotmail.com,desktop,140.243.35.188,7
80,103,1,55,British Virgin Islands,hotmail.com,desktop,132.25.46.115,64
81,1088,36,28,Vanuatu,hotmail.com,mobile,116.113.130.118,65
82,165,3,72,Cuba,gmail.com,mobile,13.140.78.211,8
83,140,5,61,Russian Federation,gmail.com,mobile,83.28.108.47,51
84,246,8,78,Czech Republic,yahoo.com,tablet,33.93.8.99,31
85,82,3,57,Saint Vincent and the Grenadines,yahoo.com,mobile,25.153.202.85,53
86,1071,25,38,Vanuatu,gmail.com,desktop,34.179.220.76,26
87,644,24,33,Nicaragua,gmail.com,desktop,9.191.55.70,50
88,269,10,60,Saint Barthelemy,gmail.com,tablet,146.193.35.38,38
89,937,30,38,Guyana,hotmail.com,mobile,3.25.64.165,1
90,939,29,57,Iraq,hotmail.com,tablet,106.205.6.63,12
91,151,1,52,Dominican Republic,hotmail.com,mobile,117.110.38.77,64
92,544,8,26,Wallis and Futuna,hotmail.com,desktop,166.55.171.27,8
93,501,16,41,Angola,yahoo.com,desktop,112.125.144.111,20
94,898,30,71,Slovakia (Slovak Republic),yahoo.com,tablet,81.10.197.6,90
95,620,16,57,Taiwan,gmail.com,tablet,155.123.236.112,67
96,17,0,60,Myanmar,yahoo.com,tablet,189.114.129.203,38
97,213,8,78,Cayman Islands,yahoo.com,mobile,192.12.170.172,33
98,237,6,74,Hungary,yahoo.com,mobile,165.110.100.3,70
99,319,12,35,Togo,hotmail.com,desktop,170.129.19.200,77
100,432,20,63,Singapore,gmail.com,desktop,152.105.33.195,26
101,541,10,50,Central African Republic,yahoo.com,desktop,35.155.10.19,32
102,105,0,23,Djibouti,gmail.com,tablet,65.69.110.85,54
103,567,12,20,Austria,gmail.com,mobile,105.153.154.253,42
104,268,5,58,Afghanistan,gmail.com,desktop,146.5.253.251,20
105,905,22,53,Madagascar,hotmail.com,tablet,64.158.140.129,54
106,20,2,25,Monaco,yahoo.com,mobile,42.3.19.94,88
107,306,13,52,Mozambique,yahoo.com,mobile,139.68.212.206,47
108,304,7,45,Heard Island and McDonald Islands,hotmail.com,mobile,75.40.191.56,5
109,632,20,41,Kenya,hotmail.com,mobile,155.131.22.14,45
110,431,18,61,Australia,yahoo.com,mobile,34.69.152.184,85
111,211,11,40,Barbados,hotmail.com,tablet,48.233.75.3,52
112,317,5,77,Ethiopia,yahoo.com,mobile,149.174.6.138,20
113,363,13,74,Chile,hotmail.com,desktop,72.198.98.52,3
114,368,12,65,Chile,hotmail.com,desktop,57.147.58.203,52
115,509,15,35,Cayman Islands,hotmail.com,mobile,202.173.168.84,89
116,222,7,42,Belarus,gmail.com,mobile,205.3.167.249,60
117,456,21,30,Congo,yahoo.com,desktop,59.21.59.240,44
118,626,14,70,Comoros,gmail.com,mobile,14.150.218.192,28
119,49,2,60,Saint Helena,hotmail.com,mobile,219.160.0.149,51
120,673,14,35,Cape Verde,gmail.com,mobile,42.141.82.103,35
121,720,27,59,Hong Kong,hotmail.com,tablet,16.39.50.210,51
122,679,21,78,Russian Federation,yahoo.com,mobile,53.56.225.141,14
123,535,16,29,United States of America,yahoo.com,tablet,207.43.239.80,33
124,79,4,24,Chile,hotmail.com,tablet,206.210.218.162,55
125,708,23,64,Afghanistan,gmail.com,desktop,143.229.58.85,55
126,1048,34,25,British Virgin Islands,hotmail.com,desktop,14.100.155.129,73
127,390,8,34,Andorra,gmail.com,mobile,66.245.20.26,90
128,894,32,18,Burkina Faso,gmail.com,tablet,172.240.97.60,68
129,404,12,41,Qatar,hotmail.com,desktop,205.254.72.198,8
130,677,29,57,Barbados,hotmail.com,desktop,100.131.46.56,84
131,256,7,64,Mongolia,hotmail.com,desktop,64.149.116.120,64
132,634,21,60,Trinidad and Tobago,yahoo.com,desktop,9.152.253.147,41
133,825,31,62,Brazil,gmail.com,desktop,166.25.29.10,70
134,261,10,30,Niue,gmail.com,desktop,83.147.183.90,85
135,777,25,61,New Caledonia,hotmail.com,tablet,181.192.114.159,22
136,617,22,43,China,hotmail.com,tablet,46.112.59.254,0
137,623,23,36,Serbia,gmail.com,mobile,67.68.25.214,55
138,660,19,47,Netherlands,gmail.com,desktop,152.11.175.109,56
139,438,17,50,Indonesia,gmail.com,desktop,11.11.169.66,21
140,174,9,36,New Zealand,hotmail.com,tablet,69.68.55.114,84
141,687,21,23,France,yahoo.com,mobile,221.131.155.62,86
142,636,22,32,Cyprus,yahoo.com,mobile,22.86.137.71,18
143,51,4,20,Togo,yahoo.com,mobile,162.82.0.101,60
144,150,6,47,Romania,yahoo.com,desktop,113.133.251.111,80
145,399,18,63,Lithuania,gmail.com,tablet,180.90.76.46,49
146,1013,33,43,Lesotho,hotmail.com,mobile,4.163.255.49,18
147,12,1,75,Equatorial Guinea,hotmail.com,mobile,198.93.3.18,54
148,449,11,29,Swaziland,gmail.com,tablet,59.63.243.118,66
149,952,34,21,United Arab Emirates,yahoo.com,tablet,30.162.38.53,31
150,249,10,47,Venezuela,gmail.com,mobile,76.141.162.52,59
151,1088,38,53,El Salvador,gmail.com,tablet,166.206.36.219,40
152,907,25,57,Congo,hotmail.com,tablet,131.134.162.29,64
153,874,31,71,Benin,yahoo.com,tablet,96.115.242.27,57
154,326,10,65,Norway,yahoo.com,desktop,110.150.162.182,57
155,531,16,66,Ukraine,yahoo.com,mobile,54.198.87.137,81
156,568,23,67,Madagascar,gmail.com,tablet,193.165.1.255,62
157,490,25,35,Fiji,yahoo.com,desktop,190.207.187.90,9
158,586,27,33,Brunei Darussalam,hotmail.com,desktop,80.82.140.226,42
159,655,18,75,Zimbabwe,gmail.com,tablet,207.132.43.132,10
160,284,7,27,Cambodia,yahoo.com,mobile,183.136.41.134,49
161,313,6,63,Mauritania,hotmail.com,mobile,126.253.7.71,8
162,850,31,44,Saint Barthelemy,hotmail.com,desktop,120.229.73.146,69
163,955,29,44,French Southern Territories,gmail.com,mobile,211.127.252.224,26
164,861,28,42,American Samoa,hotmail.com,tablet,106.60.65.77,89
165,41,0,72,Mauritius,hotmail.com,tablet,70.246.109.196,48
166,977,27,18,Guernsey,gmail.com,desktop,67.99.150.206,38
167,799,21,72,Saint Lucia,yahoo.com,desktop,36.99.81.205,68
168,452,11,49,Christmas Island,yahoo.com,mobile,190.215.112.241,34
169,893,22,49,Korea,hotmail.com,mobile,162.169.120.141,49
170,689,18,60,Cayman Islands,gmail.com,tablet,12.27.3.232,51
171,339,11,71,New Zealand,gmail.com,desktop,115.252.22.62,16
172,1094,39,19,Faroe Islands,gmail.com,desktop,79.12.14.230,75
173,56,2,23,Germany,gmail.com,tablet,216.80.196.138,54
174,278,10,73,Martinique,yahoo.com,desktop,34.158.74.12,23
175,103,1,34,Indonesia,gmail.com,desktop,208.135.220.123,41
176,434,15,47,Latvia,gmail.com,desktop,20.191.225.139,43
177,777,18,35,Portugal,hotmail.com,desktop,4.6.162.152,32
178,168,4,48,Benin,gmail.com,mobile,182.150.47.10,69
179,107,2,78,Saint Barthelemy,yahoo.com,desktop,142.179.101.183,28
180,141,6,67,San Marino,yahoo.com,tablet,37.244.169.142,5
181,64,3,78,Mali,hotmail.com,mobile,115.193.186.242,25
182,42,0,57,Yemen,hotmail.com,mobile,98.18.50.211,30
183,259,9,48,Northern Mariana Islands,yahoo.com,tablet,106.193.37.58,14
184,447,12,47,Botswana,yahoo.com,tablet,75.104.251.42,32
185,756,20,28,Kazakhstan,gmail.com,tablet,21.64.241.246,77
186,235,6,67,Kyrgyz Republic,gmail.com,mobile,104.6.253.120,39
187,222,11,55,New Zealand,yahoo.com,mobile,59.197.43.88,39
188,769,20,43,Serbia,gmail.com,tablet,51.134.212.206,25
189,156,4,55,Guyana,gmail.com,tablet,92.20.119.203,80
190,498,14,24,Norfolk Island,gmail.com,tablet,176.125.90.229,38
191,248,5,68,Latvia,hotmail.com,tablet,145.53.202.110,5
192,712,21,52,Barbados,yahoo.com,desktop,209.167.182.29,84
193,759,21,22,French Polynesia,yahoo.com,tablet,181.51.137.91,82
194,699,27,18,Eritrea,hotmail.com,desktop,185.213.247.206,62
195,217,10,45,Serbia,yahoo.com,desktop,220.187.112.193,81
196,942,36,63,Benin,yahoo.com,mobile,3.34.179.168,55
197,361,16,64,Samoa,hotmail.com,tablet,143.100.167.65,83
198,554,23,57,Bhutan,yahoo.com,tablet,156.174.221.109,61
199,953,25,45,Uzbekistan,gmail.com,tablet,223.166.72.184,75
200,550,23,38,Swaziland,gmail.com,mobile,79.232.98.218,11
201,572,19,74,Slovenia,hotmail.com,desktop,24.184.189.33,31
202,952,39,54,Bulgaria,gmail.com,tablet,104.96.169.70,85
203,777,31,39,Yemen,hotmail.com,mobile,135.210.29.29,63
204,666,20,29,Seychelles,gmail.com,desktop,181.121.194.186,27
205,727,21,69,Antigua and Barbuda,yahoo.com,desktop,27.83.119.237,43
206,573,19,74,Bouvet Island (Bouvetoya),yahoo.com,tablet,177.106.165.60,89
207,566,25,53,South Georgia and the South Sandwich Islands,hotmail.com,mobile,12.46.224.71,66
208,392,13,23,Greenland,gmail.com,mobile,37.99.9.109,52
209,1001,35,53,Pakistan,yahoo.com,mobile,82.109.86.77,88
210,976,44,59,Wallis and Futuna,gmail.com,tablet,80.30.169.124,62
211,918,28,68,Timor-Leste,yahoo.com,mobile,189.79.83.134,11
212,603,24,32,Turkmenistan,hotmail.com,desktop,139.95.129.181,88
213,499,17,37,Zimbabwe,yahoo.com,tablet,139.202.125.73,74
214,756,30,48,British Virgin Islands,hotmail.com,tablet,51.138.28.238,67
215,705,21,45,Seychelles,yahoo.com,tablet,28.168.87.149,70
216,678,26,40,Croatia,yahoo.com,tablet,174.243.201.70,58
217,555,19,37,United Kingdom,hotmail.com,desktop,157.251.89.198,29
218,248,8,64,Tunisia,hotmail.com,mobile,22.64.9.143,40
219,245,10,65,Kiribati,yahoo.com,tablet,43.144.89.204,88
220,380,12,30,United Kingdom,yahoo.com,mobile,114.123.96.213,61
221,567,28,64,Kuwait,hotmail.com,tablet,87.250.78.245,67
222,580,20,80,Mali,hotmail.com,mobile,93.164.162.63,24
223,607,22,32,Mali,gmail.com,desktop,56.229.77.151,22
224,620,21,18,Djibouti,yahoo.com,tablet,167.18.86.213,68
225,260,13,35,Croatia,gmail.com,mobile,153.25.47.15,6
226,599,20,62,Tonga,yahoo.com,mobile,65.229.47.147,81
227,1006,32,24,Oman,gmail.com,mobile,128.92.118.22,73
228,583,17,48,Bulgaria,yahoo.com,desktop,91.102.213.242,56
229,698,22,29,Palestinian Territory,yahoo.com,mobile,209.39.229.146,32
230,979,42,25,Rwanda,gmail.com,mobile,51.12.74.131,51
231,1008,31,22,Saint Barthelemy,yahoo.com,tablet,100.36.109.73,80
232,110,3,27,United States Minor Outlying Islands,yahoo.com,mobile,46.222.144.237,72
233,623,16,23,Marshall Islands,hotmail.com,mobile,162.221.113.45,15
234,853,27,56,Djibouti,yahoo.com,tablet,89.211.44.250,79
235,463,14,67,Argentina,gmail.com,tablet,168.144.35.121,48
236,923,33,76,French Southern Territories,gmail.com,desktop,182.137.172.197,38
237,879,32,37,Tajikistan,yahoo.com,tablet,204.38.255.142,79
238,124,3,57,Cameroon,yahoo.com,tablet,154.187.24.160,12
239,426,15,58,Macao,gmail.com,mobile,54.189.227.139,33
240,167,5,28,Costa Rica,hotmail.com,mobile,2.176.112.30,22
241,154,5,28,Belize,gmail.com,mobile,184.201.101.196,52
242,923,30,62,Haiti,hotmail.com,tablet,63.129.102.24,60
243,597,21,20,Cape Verde,gmail.com,mobile,19.139.165.188,36
244,580,15,62,Nicaragua,hotmail.com,desktop,52.212.50.101,9
245,479,24,77,Panama,gmail.com,desktop,126.116.122.146,80
246,406,11,45,Cameroon,gmail.com,mobile,3.24.175.73,69
247,461,14,59,Turkmenistan,gmail.com,mobile,21.16.219.209,34
248,292,7,22,Armenia,yahoo.com,mobile,11.199.173.17,21
249,630,14,56,Swaziland,hotmail.com,tablet,137.82.46.109,72
250,592,15,46,Liechtenstein,gmail.com,mobile,209.89.37.34,59
251,623,17,62,Latvia,hotmail.com,desktop,21.8.132.82,34
252,1025,29,52,Azerbaijan,gmail.com,desktop,155.133.250.7,56
253,165,7,56,Kuwait,hotmail.com,mobile,13.51.169.108,55
254,661,14,56,Jersey,hotmail.com,desktop,199.213.21.216,3
255,188,3,32,Bulgaria,yahoo.com,tablet,218.232.223.93,73
256,43,3,66,Kenya,yahoo.com,tablet,62.13.49.195,34
257,83,2,66,Faroe Islands,yahoo.com,mobile,134.221.7.245,60
258,1063,38,59,Gibraltar,gmail.com,desktop,60.220.101.118,35
259,372,13,55,Malaysia,yahoo.com,desktop,122.79.138.60,81
260,1008,38,80,Yemen,yahoo.com,mobile,57.231.16.41,60
261,713,30,44,Central African Republic,yahoo.com,desktop,96.55.78.176,41
262,215,6,72,United Arab Emirates,hotmail.com,mobile,159.79.99.57,42
263,844,24,62,Slovenia,hotmail.com,desktop,137.101.114.254,36
264,821,28,70,New Caledonia,gmail.com,tablet,93.148.76.117,4
265,932,27,23,Swaziland,hotmail.com,desktop,136.183.62.160,32
266,663,30,25,Yemen,gmail.com,desktop,21.248.182.227,65
267,3,0,60,Swaziland,gmail.com,tablet,151.107.87.9,59
268,847,24,21,Burundi,hotmail.com,mobile,13.187.204.174,66
269,741,27,57,Cape Verde,yahoo.com,desktop,144.132.175.102,80
270,906,25,66,Sao Tome and Principe,gmail.com,mobile,61.99.144.240,26
271,547,13,53,Chile,gmail.com,mobile,77.197.23.167,36
272,898,37,74,Monaco,hotmail.com,tablet,72.195.168.181,62
273,249,8,19,Bangladesh,hotmail.com,tablet,21.133.131.0,77
274,491,19,63,Suriname,yahoo.com,mobile,178.35.121.58,39
275,29,1,53,Heard Island and McDonald Islands,yahoo.com,desktop,32.60.150.194,11
276,461,14,71,Samoa,gmail.com,mobile,217.74.216.77,59
277,241,9,59,Anguilla,gmail.com,mobile,26.0.236.83,63
278,598,17,50,Ghana,hotmail.com,tablet,159.178.137.71,34
279,851,17,71,Ethiopia,yahoo.com,desktop,64.236.149.189,60
280,500,18,47,Cook Islands,hotmail.com,tablet,44.245.199.162,18
281,786,31,30,Sao Tome and Principe,hotmail.com,tablet,215.1.85.127,65
282,280,11,73,Syrian Arab Republic,hotmail.com,mobile,85.210.59.151,35
283,850,20,39,Kenya,gmail.com,tablet,79.113.115.219,34
284,6,0,36,Mayotte,yahoo.com,tablet,184.11.32.11,38
285,1003,46,73,Zimbabwe,yahoo.com,mobile,130.190.184.224,57
286,992,27,40,Gabon,yahoo.com,desktop,205.72.7.19,70
287,773,32,47,Burkina Faso,gmail.com,desktop,34.47.41.117,24
288,490,20,54,Peru,gmail.com,desktop,199.87.107.125,29
289,842,31,20,Kazakhstan,gmail.com,desktop,132.127.177.3,60
290,781,22,42,Tuvalu,gmail.com,tablet,121.139.200.210,83
291,312,17,49,United States Virgin Islands,yahoo.com,mobile,84.12.83.163,16
292,1029,28,79,Congo,yahoo.com,tablet,61.52.127.22,42
293,206,10,73,Russian Federation,yahoo.com,desktop,32.255.95.77,12
294,1078,42,76,Egypt,gmail.com,desktop,93.158.40.175,1
295,296,7,44,Luxembourg,yahoo.com,tablet,37.142.216.121,19
296,154,7,48,Bermuda,hotmail.com,desktop,138.234.187.161,43
297,815,25,59,Iraq,gmail.com,mobile,111.237.131.147,42
298,1093,35,42,Anguilla,yahoo.com,desktop,172.235.36.156,80
299,1000,35,73,Fiji,gmail.com,tablet,121.8.219.29,4
300,141,6,33,South Georgia and the South Sandwich Islands,hotmail.com,tablet,14.207.148.75,87
301,589,18,32,South Georgia and the South Sandwich Islands,gmail.com,tablet,138.15.101.192,11
302,889,26,80,Qatar,yahoo.com,mobile,152.20.210.93,81
303,206,1,46,Thailand,gmail.com,mobile,189.244.88.210,88
304,614,19,75,Andorra,hotmail.com,mobile,110.36.234.154,5
305,665,26,68,Montserrat,gmail.com,mobile,83.125.211.16,37
306,735,23,41,Guadeloupe,hotmail.com,desktop,124.11.94.223,18
307,501,25,51,South Africa,yahoo.com,desktop,217.222.172.78,72
308,369,13,28,Tokelau,yahoo.com,mobile,212.101.124.225,10
309,784,37,57,Haiti,hotmail.com,tablet,71.248.36.150,30
310,1020,36,76,Reunion,hotmail.com,tablet,151.219.192.186,18
311,476,12,47,Guinea-Bissau,gmail.com,tablet,50.43.219.165,32
312,942,26,34,Papua New Guinea,gmail.com,tablet,22.253.33.81,1
313,953,37,75,Cyprus,yahoo.com,desktop,110.242.15.232,86
314,324,10,22,Taiwan,gmail.com,desktop,25.163.78.128,44
315,613,23,58,Sri Lanka,gmail.com,desktop,158.100.91.7,88
316,513,21,47,Jordan,hotmail.com,desktop,198.135.218.135,25
317,788,22,72,Malawi,gmail.com,desktop,69.204.188.167,13
318,486,17,42,Mauritius,yahoo.com,tablet,211.163.14.51,45
319,606,17,62,Thailand,hotmail.com,desktop,14.111.192.40,2
320,811,29,35,Seychelles,hotmail.com,mobile,223.96.104.203,72
321,101,2,76,Equatorial Guinea,yahoo.com,tablet,203.5.12.26,63
322,587,16,67,Luxembourg,hotmail.com,mobile,204.186.134.45,77
323,722,24,32,Montenegro,hotmail.com,tablet,168.172.22.168,24
324,514,13,61,Slovenia,gmail.com,tablet,55.70.20.176,84
325,281,15,58,Peru,yahoo.com,mobile,103.55.164.120,80
326,81,5,37,Pakistan,hotmail.com,desktop,125.50.227.8,4
327,748,18,64,Honduras,hotmail.com,mobile,34.214.185.12,11
328,605,24,38,Lithuania,hotmail.com,tablet,185.70.230.123,53
329,360,12,30,Togo,gmail.com,mobile,200.53.159.121,69
330,750,22,51,Reunion,hotmail.com,tablet,192.61.253.254,34
331,337,9,34,Greece,yahoo.com,desktop,40.213.108.196,37
332,694,24,69,Seychelles,hotmail.com,mobile,194.122.149.113,59
333,155,7,27,Peru,yahoo.com,mobile,82.117.151.198,86
334,814,37,79,Saint Helena,yahoo.com,tablet,194.215.248.183,46
335,185,3,68,Saint Vincent and the Grenadines,gmail.com,desktop,11.216.232.5,1
336,542,19,52,Mali,gmail.com,mobile,122.175.23.5,58
337,755,27,61,Japan,yahoo.com,tablet,47.37.91.121,86
338,537,12,55,Luxembourg,hotmail.com,desktop,185.36.194.123,81
339,761,23,24,Comoros,gmail.com,tablet,106.134.64.191,29
340,966,37,19,Oman,gmail.com,tablet,14.95.90.91,71
341,672,22,76,Vietnam,gmail.com,tablet,222.169.195.145,28
342,130,6,58,Antigua and Barbuda,yahoo.com,desktop,182.39.191.250,89
343,619,13,59,Suriname,hotmail.com,desktop,131.251.16.121,14
344,287,13,20,United States of America,gmail.com,mobile,14.156.39.28,38
345,1009,28,25,Chile,gmail.com,mobile,46.15.132.72,30
346,278,13,42,Nepal,gmail.com,desktop,149.150.252.152,47
347,859,38,55,Chad,gmail.com,tablet,128.47.193.207,19
348,850,33,59,Samoa,hotmail.com,mobile,151.162.86.183,62
349,836,20,78,Equatorial Guinea,yahoo.com,desktop,75.19.99.157,4
350,759,28,31,Papua New Guinea,gmail.com,desktop,41.35.207.101,56
351,484,12,72,Burkina Faso,yahoo.com,desktop,216.51.140.93,12
352,753,15,52,Monaco,gmail.com,tablet,27.238.140.187,45
353,125,4,43,French Southern Territories,yahoo.com,desktop,39.114.33.56,24
354,251,8,78,Romania,hotmail.com,desktop,109.95.157.252,11
355,435,14,59,Austria,gmail.com,tablet,110.37.89.105,76
356,44,2,21,Japan,hotmail.com,desktop,146.73.101.18,31
357,258,7,68,Bosnia and Herzegovina,hotmail.com,tablet,180.106.109.44,26
358,141,2,71,Guinea-Bissau,hotmail.com,tablet,143.52.209.222,26
359,443,13,70,Korea,gmail.com,mobile,162.216.251.210,42
360,303,11,68,United States Virgin Islands,gmail.com,tablet,163.192.159.206,0
361,568,23,72,Sweden,gmail.com,mobile,222.146.70.104,16
362,514,12,69,Vanuatu,gmail.com,mobile,159.252.59.241,14
363,53,2,26,Tuvalu,hotmail.com,mobile,85.93.222.30,45
364,488,24,55,Holy See (Vatican City State),hotmail.com,desktop,133.57.207.187,2
365,357,12,34,Albania,yahoo.com,mobile,19.26.174.248,16
366,863,36,51,Philippines,yahoo.com,mobile,92.75.61.205,8
367,976,38,46,Tunisia,gmail.com,desktop,144.226.54.106,65
368,224,9,46,Tanzania,gmail.com,tablet,13.61.100.161,28
369,89,1,64,Finland,hotmail.com,tablet,201.156.46.228,66
370,618,18,47,Myanmar,gmail.com,tablet,73.134.192.116,3
371,125,8,48,Sweden,hotmail.com,desktop,22.45.234.30,54
372,222,3,49,Central African Republic,yahoo.com,tablet,55.55.173.136,56
373,151,7,75,Micronesia,hotmail.com,mobile,149.36.234.237,41
374,304,14,22,Bosnia and Herzegovina,gmail.com,mobile,72.122.194.115,35
375,666,21,42,Tunisia,yahoo.com,tablet,208.252.192.191,67
376,604,20,47,Burkina Faso,gmail.com,tablet,108.44.240.247,77
377,882,38,24,Austria,hotmail.com,tablet,208.132.218.224,14
378,441,12,45,Australia,hotmail.com,desktop,87.145.19.156,29
379,848,37,39,Lesotho,gmail.com,desktop,1.48.235.100,51
380,852,30,64,Reunion,gmail.com,mobile,70.71.227.192,40
381,875,33,38,Nepal,gmail.com,tablet,128.195.139.160,32
382,767,20,79,Niue,hotmail.com,mobile,113.37.93.121,87
383,972,50,22,Christmas Island,yahoo.com,mobile,211.190.60.203,10
384,191,8,45,Uganda,gmail.com,mobile,219.72.63.48,47
